$ java Simulator parking3.inf 8

************************************************************
*                                                          *
*                                                          *
*                                                          *
*                                                          *
************************************************************

Total number of parkable spots (capacity): 58
=== SIMULATION START ===
R(FWO) ENTERED at timestep 1095; occupancy is at 1
R(KCJ) ENTERED at timestep 67484; occupancy is at 33
R(LL0) ENTERED at timestep 67635; occupancy is at 34
S(Q3S) EXITED at timestep 68012; occupancy is at 33
R(1UQ) EXITED at timestep 68160; occupancy is at 32
L(EEY) ENTERED at timestep 68714; occupancy is at 32
L(IXB) EXITED at timestep 68714; occupancy is at 32
R(NZG) ENTERED at timestep 68716; occupancy is at 33
R(G1W) EXITED at timestep 69020; occupancy is at 32
L(KIR) ENTERED at timestep 69787; occupancy is at 32
R(HU2) EXITED at timestep 69787; occupancy is at 32
R(NO4) ENTERED at timestep 69789; occupancy is at 33
R(J6F) ENTERED at timestep 69791; occupancy is at 34
R(A08) EXITED at timestep 70005; occupancy is at 33
R(W9U) EXITED at timestep 70109; occupancy is at 32
L(QPQ) ENTERED at timestep 70640; occupancy is at 32
R(E0Y) EXITED at timestep 70640; occupancy is at 32
E(S2K) ENTERED at timestep 70642; occupancy is at 33
R(ZEA) ENTERED at timestep 70644; occupancy is at 34
R(MSH) ENTERED at timestep 70646; occupancy is at 35
R(LL0) EXITED at timestep 71013; occupancy is at 34
L(81J) ENTERED at timestep 71302; occupancy is at 35
R(Z7K) ENTERED at timestep 71393; occupancy is at 36
S(AUD) ENTERED at timestep 72379; occupancy is at 37
R(ZV2) ENTERED at timestep 72849; occupancy is at 38
R(XAX) EXITED at timestep 73207; occupancy is at 37
L(WRK) ENTERED at timestep 73850; occupancy is at 37
R(SOH) EXITED at timestep 73850; occupancy is at 37
R(GDV) ENTERED at timestep 73852; occupancy is at 38
R(K7V) ENTERED at timestep 74008; occupancy is at 38
R(5RJ) EXITED at timestep 74008; occupancy is at 38
R(7UQ) ENTERED at timestep 74230; occupancy is at 38
L(7E7) EXITED at timestep 74230; occupancy is at 38
E(WBE) EXITED at timestep 75850; occupancy is at 37
R(FS0) ENTERED at timestep 76293; occupancy is at 37
R(5GK) EXITED at timestep 76293; occupancy is at 37
R(GLD) ENTERED at timestep 76305; occupancy is at 37
R(9MC) EXITED at timestep 76305; occupancy is at 37
R(D33) ENTERED at timestep 77043; occupancy is at 37
R(KCJ) EXITED at timestep 77043; occupancy is at 37
R(7RS) ENTERED at timestep 77558; occupancy is at 37
R(367) EXITED at timestep 77558; occupancy is at 37
E(82W) ENTERED at timestep 77560; occupancy is at 38
R(AF3) ENTERED at timestep 77768; occupancy is at 38
R(3W1) EXITED at timestep 77768; occupancy is at 38
S(4EO) ENTERED at timestep 77770; occupancy is at 39
E(8O8) ENTERED at timestep 77772; occupancy is at 40
R(4J5) ENTERED at timestep 78041; occupancy is at 40
R(2JS) EXITED at timestep 78041; occupancy is at 40
S(EC1) EXITED at timestep 78096; occupancy is at 39
R(QQ7) ENTERED at timestep 78561; occupancy is at 39
L(JER) EXITED at timestep 78561; occupancy is at 39
S(6Z8) ENTERED at timestep 78563; occupancy is at 40
S(1YX) ENTERED at timestep 79021; occupancy is at 40
L(KIR) EXITED at timestep 79021; occupancy is at 40
S(RYO) ENTERED at timestep 79271; occupancy is at 40
E(S2K) EXITED at timestep 79271; occupancy is at 40
R(QLI) ENTERED at timestep 79901; occupancy is at 40
R(7RS) EXITED at timestep 79901; occupancy is at 40
E(M00) ENTERED at timestep 79903; occupancy is at 41
R(5AS) ENTERED at timestep 80340; occupancy is at 41
R(SRI) EXITED at timestep 80340; occupancy is at 41
R(LOH) EXITED at timestep 80582; occupancy is at 40
S(YMM) EXITED at timestep 80948; occupancy is at 39
E(KAM) EXITED at timestep 80955; occupancy is at 38
R(Q86) EXITED at timestep 81130; occupancy is at 37
R(GDV) EXITED at timestep 82230; occupancy is at 36
L(HAT) ENTERED at timestep 82378; occupancy is at 36
L(WRK) EXITED at timestep 82378; occupancy is at 36
S(9B5) ENTERED at timestep 82380; occupancy is at 37
S(UZH) ENTERED at timestep 82382; occupancy is at 38
R(DQE) ENTERED at timestep 82384; occupancy is at 39
R(QSI) ENTERED at timestep 82386; occupancy is at 40
S(8T4) ENTERED at timestep 82388; occupancy is at 41
R(8GD) EXITED at timestep 82645; occupancy is at 40
R(64E) EXITED at timestep 83265; occupancy is at 39
S(6Z8) EXITED at timestep 84166; occupancy is at 38
L(P4R) ENTERED at timestep 84383; occupancy is at 38
S(1YX) EXITED at timestep 84383; occupancy is at 38
R(KFW) ENTERED at timestep 84385; occupancy is at 39
R(GB0) ENTERED at timestep 84387; occupancy is at 40
R(5K0) ENTERED at timestep 85847; occupancy is at 40
R(7UQ) EXITED at timestep 85847; occupancy is at 40
R(DAE) ENTERED at timestep 86030; occupancy is at 40
R(3H4) EXITED at timestep 86030; occupancy is at 40
E(7EE) ENTERED at timestep 86032; occupancy is at 41
=== SIMULATION END ===

Simulation took 271ms.

Length of car queue at the front at the end of simulation: 5
