Which 'Dog' was a hit for Led Zeppelin?	Black Dog	Hey Bulldog	Diamond Dogs	Me and you and a dog named  Boo	Music	2
Which metal band had a hit with 'Paranoid'?	Black Sabbath	Deep Purple	Uriah Heep	Motorhead	Music	2
Who released the best selling album 'Monkey Business' in 2005?	Blackeyed Peas	Coldplay	50 Cent	Green Day	Music	2
Who had a chirpy hit with 'Rockin Robin' in the 60s?	Bobby Day	Bobby Vinton	Bobby Rydell	Bobby Vee 	Music	2
Who had a colourful hit with 'Roses are Red'?	Bobby Vinton	Bobby Vee	Bobby Darin	Bobby Rydell	Music	2
Jayne Torvill and Christopher Dean won olympic gold in 1984 dancing to which music?	Bolero	Carmen	Ballroom Blitz	Lady in Red	Music	2
With which song did Lulu win the Eurovision song contest?	Boom Bang A Bang	Ding A Dong	A Ba Ni Bi	Diggi Loo Diggi Ley	Music	2
Which book title was a hit for Toyah?	Brave New World	Romeo And Juliet	Islands In The Stream	Tom Sawyer	Music	2
What did Elvis have 26 of?	Cadillacs	Thunderbirds	Mustangs	Corvettes	Music	2
Who had a sweet hit song with 'Lollipop' in the 60s?	Chordettes	Ronettes	Velvelettes	Jaynettes	Music	2
Which celebrity appeared in the Westlife music video Uptown Girl?	Claudia Schiffer	Billy Joel	Angelina Jolie	Diana Dors	Music	2
Who was a hit for Gorillaz?	Clint Eastwood	James Dean	Charlton Heston	Bruce Willis	Music	2
Who had an instrumental hit with 'Take 5'?	Dave Brubeck	Hot Butter	Duane Eddy	Herb Alpert	Music	2
What was a David Bowie album?	Diamond Dogs	Copper  Cats	Golden Geldings	Platinum Ponys	Music	2
Which song was not a 70s disco hit?	Disco Disco	Disco Duck	Disco Inferno	Disco Lady	Music	2
What was a hit for Aerosmith?	Dream On	I Have A Dream  	Dream Police	Sweet Dreams	Music	2
Which band is not from 'Oz'?	Echo and the Bunnymen	INXS	Cold Chisel	Split Enz	Music	2
Which pie is a Paul McCartney album?	Flaming	Humble	Cream	Pumpkin	Music	2
Which book title was a hit for Metallica?	For Whom The Bell Tolls	Brave New World	Slaughterhouse Five	Taming Of The Shrew	Music	2
Which son was a hit for Creedence Clearwater Revival?	Fortunate Son	Matthew and Son	Son of a Preacher man	Fathers and Sons	Music	2
Who was the first person to have a number one album?	Frank Sinatra	Benny Hill	Acker Bilk	Richard Harris	Music	2
What  was a hit for Debbie Harry?	French Kissin	It's in his kiss	Kissess Sweeter Than Wine	Kissin in the back row of the movies	Music	2
Who sang the Bond theme song 'The World Is Not Enough'?	Garbage	A-Ha	Duran Duran	Rita Coolidge	Music	2
What is the nickname of Terrance Butler of Black Sabbath fame?	Geezer	Teezer	Beezer	Breezer	Music	2
"What did Ray Charles have ""on my mind""?"	Georgia	Virginia	Kentucky	Mississippi	Music	2
Who sang the Bond theme song 'Licence To Kill'?	Gladys Knight	A-Ha	Duran Duran	Nancy Sinatra	Music	2
Which Welsh group had a hit with 'Guns Don't Kill People - Rappers Do'?	Goldie Lookin Chain	Manic Street Preachers	The Alarm	Catatonia	Music	2
Ry Cooder is famous for playing which instrument?	Guitar	Keyboards	Drums	Saxophone	Music	2
Which moon is a Neil Young album?	Harvest	Blue	Crescent	Full	Music	2
What part of the body was a number one UK hit for the Pet Shop Boys in 1988?	Heart	Brain	Soul	Lips	Music	2
Which reclusive band sold more singles than the Beatles in 1965?	Herman's Hermits	The Animals	The Zombies	Pink Floyd	Music	2
Which 'Dog' was a hit for the Beatles?	Hey Bulldog	Black Dog	How much is that doggie in the window	I wanna be your dog	Music	2
Which way was a hit for Bob Dylan?	Highway 61	Dead-End Street	Baker Street	Gasoline Alley	Music	2
Which 'Cat' was a hit for Elton John?	Honky Cat	Year of the Cat	Cat's in the Cradle	Stray Cat Strut	Music	2
Who had an instrumental hit with 'Popcorn'?	Hot Butter	Apollo 100	Paul Mauriat	Surfaris	Music	2
Which band was not from Liverpool?	Hothouse Flowers	Swinging Blue Jeans	Big in Japan	A Flock of Seagulls	Music	2
Which animal was a hit for R.E.M. ?	Hyena	Butterfly	Albatross	Giraffe	Music	2
What was a hit for the Bee Gees?	I.O.I.O	Da Da Da	Oo Oo Ee	C.O.D.	Music	2
What was a hit for Iron Butterfly?	In A Gadda Da Vida	Giddy Up A Ding Dong	Rama Lama Ding Dong	Sha La La La Lee	Music	2
Cliff Richard was born in which country?	India	Zanzibar	Germany	South Africa	Music	2
Which book title was a hit for Dolly Parton?	Islands In The Stream	Pride And Prejudice	Gone With The Wind	A Midsummers Night's Dream	Music	2
Which city was a hit for Johnny Cash?	Jackson	El Paso	Detroit	Galvaston	Music	2
Who are the Glimmer Twins?	Jagger and Richards	Lennon and McCartney	Simon and Garfunkel	Chaz and Dave	Music	2
Who had three number one UK hits in 1989?	Jason Donovan	New Kids on the Block	Simple Minds	Bangles	Music	2
Which reggae star had a hit with 'Vietnam'?	Jimmy Cliff	Bob Marley	Peter Tosh	Desmond Dekker	Music	2
Who was the leader of The Quarrymen?	John Lennon	Elvis Costello	Elton John	Eric Clapton	Music	2
Who were The Carpenters?	Karen and Richard	Karen and Todd	Karen and John	Karen and Joseph	Music	2
Who had an instrumental hit with 'Midnight in Moscow'?	Kenny Ball	Tornadoes	Duane Eddy	Ventures	Music	2
Which football player had a top 10 hit in Germany with 'Head over heels in love'?	Kevin Keegan	Franz Beckenbauer	Gazza	Gary Neville	Music	2
Keith Emerson is famous for playing which instument?	Keyboards	Drums	Guitar	Saxophone	Music	2
Which band was not a trio?	Kinks	Cream	Stray Cats	Police	Music	2
What kind of Lady was a hit for Uriah Heep?	Lady in Black	Lady in Red	Lady in Lace	Lady in the Red Hat	Music	2
Who composed the music for West Side Story?	Leonard Bernstein	A Lloyd Webber	Cole Porter	Irving Berlin	Music	2
Who had a hit with 'It's My Party'?	Lesley Gore	Little Eva	Dee Dee Sharp	Shelley Fabares	Music	2
What was a top 10 hit for Chubby Checker?	Let's Twist Again	Twist And Shout	Twistin The Night Away	Hey, Let's Twist	Music	2
Which band is not Irish?	Little River Band	Thin Lizzy	Chieftans	Them	Music	2
What was Jim Morrison's nickname?	Lizard King	Bird	Slowhand	Van the Man	Music	2
Which Kinks song was banned by the BBC?	Lola	Waterloo Sunset	You Really Got Me	Sunny Afternoon	Music	2
In which city was the famous 'Marquee' music club?	London	New York	Glasgow	L.A.	Music	2
What was a hit for Dire Straits? 	Love Over Gold	Band Of Gold	Fool's Gold	Gold	Music	2
Which Donna Summer song was banned by the BBC?	Love To Love You	I Feel Love	On The Radio	Last  Dance	Music	2
Who sang the Bond theme song 'The Man With The Golden Gun'?	Lulu	Tom Jones	Sheena Easton	Tina Turner	Music	2
What was a hit for Fun Boy Three ?	Lunatics have taken over the asylum	19th nervous breakdown	Paranoid	They're coming to take me away, Ha-Haa !	Music	2
Which mother was a hit for Boney M ?	Ma Baker	Mama told me not to come	Your Mother should know	What have they done to my song, Ma	Music	2
Sean Moore and Nicky Jones are members of which famous band?	Manic Street Preachers	The Stereophonics	The Alarm	Goldie Lookin Chain	Music	2
"In Elton John's song Rocket Man which planet is ""cold as hell""?"	Mars	Venus	Pluto	Saturn	Music	2
What was the first song ever recorded?	Mary had a little lamb	Happy Birthday	A bicycle built for two	God save the King	Music	2
Which son was a hit for Cat Stevens?	Matthew and Son	Son of a preacher man	Fortunate Son	Fathers and Sons	Music	2
Which spice girl comes from Leeds?	Mel B	Mel C	Gerry Halliwell	Emma Bunton	Music	2
Which mother was a hit for Paul Simon ?	Mother and child reunion	Motherless children	Your mother should know	Mama told me not to come	Music	2
What was a Red Hot Chli Peppers album?	Mothers Milk	Mothers Ruin	Mothers Little Helper	Mothers of Invention	Music	2
Who sang the Bond theme song 'You Only Live Twice'?	Nancy Sinatra	Lulu	Shirley Bassey	Gladys Knight	Music	2
In which US state was the 1969 Woodstock Festival?	New York	Ohio	Vermont	California	Music	2
Which tube station was a hit for Motorhead?	No sleep till Hammersmith	The Guns of Brixton	Jeffrey Goes To Leicester Square	King's Cross Ladies	Music	2
Which band is not from Wales?	OMD	Manic Street Preachers	Stereophonics	Amen Corner	Music	2
What number was not a Boy Band?	One Town	All-4-One	East 17	Heaven 17	Music	2
Who had a heartbreaking hit with 'Lonely Boy'?	Paul Anka	Fabian	Bobby Vee	Frankie Avalon	Music	2
Who is the vocalist in 'Mike and the Mechanics'?	Paul Carrack	Mike Rutherford	Phil  Collins	Boy George	Music	2
What kind of train was a hit for Cat Stevens?	Peace Train	Love Train	Runaway Train	Soul Train	Music	2
Which song from The Stranglers was banned by the BBC?	Peaches	96 Tears	No More Heroes	Always The Sun	Music	2
Who was the lead singer for The Herman's Hermit's?	Peter Noone	Peter Day	Peter March	Peter Munday	Music	2
What was the name of Pink Floyds first album?	Piper at the gates of dawn	Sandman at the gates of twilight	Ferryman at the gates of Hades	Pauper at the gates of heaven	Music	2
Which of these Beatles albums was released first?	Please Please Me 	With the Beatles	A Hard Day's Night	Beatles for Sale	Music	2
"Which Beatles album featured the song ""Twist and Shout""?"	Please, Please Me	Yellow Submarine	A Hard Day's Night 	Abbey Road	Music	2
Frederick Bulsara was the lead singer for which group?	Queen	Cream	OMD	Small Faces	Music	2
Who was the narrator on the album War Of The Worlds?	Richard Burton	Orson Wells	Anthony Hopkins	Spike Milligan	Music	2
Which member of the Manic Street Preachers went missing and has never been found?	Richard Edwards	Sean Moore	Nicky Jones	James Dean Bradfield	Music	2
Which of the following artists have not sold over 500 million records worldwide?	Rolling Stones	The Beatles	Bing Crosby	Michael Jackson	Music	2
Which book title was a hit for Dire Sraits?	Romeo And Juliet	Brave New World	Catch 22	For Whom The Bell Tolls	Music	2
Who had a hit song with 'Be My Baby' in the 60s?	Ronettes	Chordettes	Jaynettes	Velvelettes	Music	2
"According to Blur, ""Modern Life is......"""	Rubbish	Trash	Garbage	Waste	Music	2
Which girl was a hit for Starship in 1986?	Sara	Roxanne	Eloise	Cecilia	Music	2
Which band is not from Scotland?	Saw Doctors	Simple Minds	Nazareth	Stone the Crows	Music	2
Which soundtrack album did the Bee Gees release?	Sgt. Pepper's Lonely Hearts Club Band	Abbey Road	Help	Yellow Submarine	Music	2
Who had a hit song with 'Leader Of The Pack'?	Shangri-Las	Ronettes	Shirelles	Chiffons	Music	2
Who sang the Bond theme song 'For Your Eyes Only'?	Sheena Easton	Madonna	Nancy Sinatra	Carly Simon	Music	2
In the song Waltzing Matilda, what is a Jumbuck?	Sheep	Goat	Horse	Kangaroo	Music	2
Who sang the Bond theme song 'Tomorrow Never Dies'?	Sheryl Crow	Tina Turner	Rita Coolidge	Madonna	Music	2
Who did Nick Berry play in Eastenders at the time of his first number one hit? 	Simon Wicks	Himself	Brian Wicks	Kevin Wicks	Music	2
Which ship was a hit for the Beach Boys?	Sloop John B.	Proud Mary	Mississippi Quenn	Rainbow Warrior	Music	2
Which book title was a hit for the Doors?	Spy In The House Of Love	Taming Of The Shrew	Quiet Days In Clichy	Faust	Music	2
Who appeared a record 106 times on Top Of The Pops?	Status Quo	Adam and the Ants	T-Rex	The England World Cup Squad	Music	2
What was a hit for the Pretenders?	Stop your sobbing	Crying in the rain	Tears on my pillow	Tears of a clown	Music	2
What was a hit for the Rubettes?	Sugar Baby Love	Brown Sugar	Sugar Me	Sugar Sugar	Music	2
Blondie scored their second number one hit in 1979. Which song?	Sunday Girl	Heart of Glass	Call Me	One Way or Another	Music	2
Jack Black and Kyle Gass make up which famous band?	Tenacious D	The White Stripes	Chas N Dave	Erasure	Music	2
What kind of opera singer was Enrico Caruso?	Tenor	Bass	Soprano	Baritone	Music	2
Which film is a Blur album?	The Great Escape 	The Longest Day	The Dam Busters	Catch 22	Music	2
Which dance was a hit for Little Eva?	The Loco Motion	The Watusi	The Twist	Mashed Potatoes	Music	2
Who were Davey, Peter, Michael and Mickey? 	The Monkees	The Turtles	The Animals	The Chipmunks	Music	2
What was the name of the Skiffle group that John Lennon formed in 1957?	The Quarrymen	The Beatles	Johnny and the Moondogs	Silver Beetles 	Music	2
What was David Bowie's nickname?	The Thin White Duke	Glimmer Twins	Lizard King	King of Pop	Music	2
What was a number one hit for Chubby Checker?	The Twist	Twistin The Night Away	Twist And Shout	Twistin USA	Music	2
What was a hit for Napoleon XIV ?	They're coming to take me away, Ha-Haa !	19th Nervous Breakdown	Lunatics have taken over the asylum	Acute schizophrenia paranoia blues	Music	2
Who sang the Bond theme song 'Thunderball'?	Tom Jones	Matt Munro	Shirley Bassey	Lulu	Music	2
Which book title was a hit for the band Rush?	Tom Sawyer	1984	Catch 22	Animal Farm	Music	2
What did Elvis do before he became King?	Truck Driver	Hairdresser	Pilot	Disc Jockey	Music	2
Which day was a hit for the Moody Blues?	Tuesday Afternoon	Wednesday Morning 3 am	Stormy Monday	Another Saturday Night	Music	2
What was a top 10 song for Sam Cooke?	Twistin The Night Away	The Twist	Peppermint Twist	Let's Twist Again	Music	2
Who had a hit with the song 'Hawaii Five-0'?	Ventures	Surfaris	Tornadoes	Daytonas  	Music	2
Which actor covered the Beatles song 'Lucy In The Sky With Diamonds'?	William Shatner	Peter Sellers	George Burns	Telly Savalas	Music	2
"Which Beatles album featured the song ""All Together Now""?"	Yellow Submarine	Please, Please Me	A Hard Day's Night 	Abbey Road	Music	2
Scrambled Eggs was the working title for which Beatles song?	Yesterday	Hello Goodbye	She Loves You	Revolution	Music	2
Which sign is a Pearl Jam album?	Yield	Stop	Dead End	Slow	Music	2
Freddy Mercury was born in which country?	Zanzibar	India	Germany	Brazil	Music	2
How old was Chopin when he composed his first polonaise?	7	4	11	16	Music	3
How many records are selected by each castaway on Desert Island Discs?	8	10	6	12	Music	3
"On which floor do ""you"" live in the song Luka?"	1st	2nd	3rd	4th	Music	3
The Rolling Stones had a spacey hit with which song?	2000 Light Years From Home	Across the Universe	Space Oddity	Uranus Rock	Music	3
What is the Volkswagen license plate found on the Beatles Abbey Road album cover?	28IF	14U2	14ALL	22BE	Music	3
"Which Beatles album featured the song ""Any Time at All""?"	A Hard Day's Night	Please, Please Me	Yellow Submarine	Abbey Road	Music	3
"Which Beatles album featured the song ""I Should Have Known Better""?"	A Hard Day's Night	Please, Please Me	Yellow Submarine	Abbey Road	Music	3
"Which Beatles album featured the song ""I'm Happy Just to Dance with You""?"	A Hard Day's Night	Please, Please Me	Yellow Submarine	Abbey Road	Music	3
"Which Beatles album featured the song ""Tell Me Why""?"	A Hard Day's Night	Please, Please Me	Yellow Submarine	Abbey Road	Music	3
"Which Beatles album featured the song ""Because""?"	Abbey Road	Please, Please Me	A Hard Day's Night 	Yellow Submarine	Music	3
"Which Beatles album featured the song ""Her Majesty""?"	Abbey Road	Please, Please Me	A Hard Day's Night 	Yellow Submarine	Music	3
"Which Beatles album featured the song ""Maxwell's Silver Hammer""?"	Abbey Road	Please, Please Me	A Hard Day's Night 	Yellow Submarine	Music	3
"Which Beatles album featured the song ""Mean Mr. Mustard""?"	Abbey Road	Please, Please Me	A Hard Day's Night 	Yellow Submarine	Music	3
Which artist was a David Bowie song?	Andy Warhol	Vincent Van Gogh	Da Vinci	Rembrandt	Music	3
Chris de Burgh was born in which country?	Argentina	Germany	India	Canada	Music	3
Which bands last concert was coined 'the rooftop' concert?	Beatles	Who	Take That	Wham	Music	3
Who sang duett with Cher in the 1994 re release of 'I Got You Babe'?	Bevis and Butthead	Homer Simpson	Bruce Willis	Don Johnson	Music	3
